No,crystal structure,Fe,Cr,Mn,Si,Co,Mo,Ni,C,Ti,N,B,P,S,Nb,Cu,Ta,Al,V,Mg,W,Zr,dr,tem,irrtype,disden,PreHe,dose
200,fcc,65.0973,10.2,0,0,0,0,24.7,0.001,0,0.0017,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,727.3,1,3.00E+14,0,9.65
201,fcc,65.0973,10.2,0,0,0,0,24.7,0.001,0,0.0017,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,755.3,1,3.00E+14,0,9.65
202,fcc,65.0973,10.2,0,0,0,0,24.7,0.001,0,0.0017,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,783.5,1,3.00E+14,0,27
203,fcc,65.0973,10.2,0,0,0,0,24.7,0.001,0,0.0017,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,811.5,1,3.00E+14,0,62
204,fcc,65.0973,10.2,0,0,0,0,24.7,0.001,0,0.0017,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,866.5,1,3.00E+14,0,67.5
205,fcc,65.0973,10.2,0,0,0,0,24.7,0.001,0,0.0017,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,923.5,1,3.00E+14,0,76.5
206,fcc,44.894,20,0,0,0,0,35.1,0.004,0,0.002,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,755.5,1,3.00E+14,0,24.2
207,fcc,44.894,20,0,0,0,0,35.1,0.004,0,0.002,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,811.5,1,3.00E+14,0,33.75
208,fcc,44.894,20,0,0,0,0,35.1,0.004,0,0.002,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,866.5,1,3.00E+14,0,73
209,fcc,49.794,15.1,0,0,0,0,35.1,0.004,0,0.002,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,755.5,1,3.00E+14,0,50.5
210,fcc,49.794,15.1,0,0,0,0,35.1,0.004,0,0.002,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,811.5,1,3.00E+14,0,75
211,fcc,49.794,15.1,0,0,0,0,35.1,0.004,0,0.002,0,0,0,0,0,0,0,0,0,0,0,1.20E-06,866.5,1,3.00E+14,0,90
212,fcc,69.41,19.6,1.01,0.76,0,0.07,9.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00E-03,798.5,3,3.00E+14,0,18
213,fcc,69.41,19.6,1.01,0.76,0,0.07,9.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00E-03,873.5,3,3.00E+14,0,13
214,fcc,64.49,17.3,1.64,0.56,0,2.26,13.7,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00E-03,798.5,3,3.00E+14,0,25
215,bcc,88.3642,9.38,0.38,0.34,0,0.91,0.097,0.085,0,0.042,0,0.019,0.0008,0.08,0.08,0,0.032,0.19,0,0,0,7.20E-04,748.5,3,1.00E+15,0,280
216,bcc,88.3642,9.38,0.38,0.34,0,0.91,0.097,0.085,0,0.042,0,0.019,0.0008,0.08,0.08,0,0.032,0.19,0,0,0,8.30E-04,748.5,3,1.00E+15,0,330
217,bcc,88.3642,9.38,0.38,0.34,0,0.91,0.097,0.085,0,0.042,0,0.019,0.0008,0.08,0.08,0,0.032,0.19,0,0,0,9.60E-04,748.5,3,1.00E+15,0,382
218,bcc,88.3642,9.38,0.38,0.34,0,0.91,0.097,0.085,0,0.042,0,0.019,0.0008,0.08,0.08,0,0.032,0.19,0,0,0,1.11E-03,748.5,3,1.00E+15,0,430
219,bcc,88.3642,9.38,0.38,0.34,0,0.91,0.097,0.085,0,0.042,0,0.019,0.0008,0.08,0.08,0,0.032,0.19,0,0,0,1.29E-03,748.5,3,1.00E+15,0,492
220,bcc,85.546,11.2,0.94,0.37,0,0.04,0.03,0.14,0,0.044,0,0,0,0.01,0,0.17,0,0.29,0,1.17,0.05,0.000980246,748.5,3,3.00E+14,0,137
